indice_cliente,media_movel
125.0,6.166699673929898
126.0,6.201022097834682
127.0,6.23412857744704
128.0,6.265556109028419
129.0,6.295999245374436
130.0,6.324759504468459
131.0,6.3526347844176945
132.0,6.379758242178291
133.0,6.4059252551893415
134.0,6.4319903225607975
135.0,6.457334611331863
136.0,6.482538705953734
137.0,6.506874538107039
138.0,6.530760109074943
139.0,6.554723286211804
140.0,6.578288421978226
141.0,6.601187967917428
142.0,6.623833307190684
143.0,6.646741977748964
144.0,6.669640387126065
145.0,6.69320855351292
146.0,6.716420565882127
147.0,6.739283118257149
148.0,6.761136928008231
149.0,6.783164598491691
150.0,6.804983693089502
151.0,6.826106421944934
152.0,6.846588168266621
153.0,6.866347220813965
154.0,6.885945644285385
155.0,6.905757934067314
156.0,6.925620569268003
157.0,6.945014520416445
158.0,6.962866151861809
159.0,6.979986851777312
160.0,6.997490619384948
161.0,7.0148819991201465
162.0,7.032479767885832
163.0,7.050226811835936
164.0,7.067050927139741
165.0,7.084141342246174
166.0,7.101823496760519
167.0,7.119842894713024
168.0,7.137395987726298
169.0,7.155573714251431
170.0,7.173356241663536
171.0,7.191819693932634
172.0,7.2094025657494125
173.0,7.2264225687529136
174.0,7.24317727285926
175.0,7.258741731434042
176.0,7.273758544398556
177.0,7.288608306097815
178.0,7.30375749681433
179.0,7.318116467001559
180.0,7.3322413752698425
181.0,7.346451167742466
182.0,7.360777868986372
183.0,7.375123223711004
184.0,7.3890643656120405
185.0,7.402270540785091
186.0,7.415231297520377
187.0,7.428373253426912
188.0,7.4416348636443015
189.0,7.454359034956153
190.0,7.467206804212655
191.0,7.479714513370874
192.0,7.492124198719452
193.0,7.503641099490904
194.0,7.5156905508795235
195.0,7.527437385403957
196.0,7.538734577529183
197.0,7.549989173814751
198.0,7.560737642403586
199.0,7.571262993269604
200.0,7.581503573255512
201.0,7.591533993513966
202.0,7.600973767850438
203.0,7.610231932174151
204.0,7.619624670948666
205.0,7.629170045312258
206.0,7.639517276110712
207.0,7.649533249358209
208.0,7.659722387930735
209.0,7.670206211605609
210.0,7.680682549315707
211.0,7.690841557861515
212.0,7.701048077555561
213.0,7.709998773542231
214.0,7.718798104673563
215.0,7.727414299229572
216.0,7.736030728914694
217.0,7.744850024614654
218.0,7.7535784997847275
219.0,7.762550554335372
220.0,7.771558516664196
221.0,7.780981837068165
222.0,7.790363683441208
223.0,7.7993879461472675
224.0,7.808589218533825
225.0,7.817580776325178
226.0,7.826164771061643
227.0,7.835613351862012
228.0,7.84495368431871
229.0,7.853721412139746
230.0,7.8628177692567345
231.0,7.872506485194886
232.0,7.88270446828072
233.0,7.892826930855093
234.0,7.903444695955385
235.0,7.9142244977797604
236.0,7.924873054999283
237.0,7.935909590644953
238.0,7.946794036630758
239.0,7.958395068280678
240.0,7.969764664377078
241.0,7.981014988264877
242.0,7.993096559771766
243.0,8.00482612093135
244.0,8.016586700289052
245.0,8.027878301089054
246.0,8.03886326500517
247.0,8.049293482953464
248.0,8.059111977890659
249.0,8.068714678015857
250.0,8.07812100366492
251.0,8.087648674327754
252.0,8.097376275091303
253.0,8.106848497643503
254.0,8.116392789941907
255.0,8.125483214894823
256.0,8.134228456175986
257.0,8.142732415908387
258.0,8.151245398489673
259.0,8.160236304465931
260.0,8.168553830050996
261.0,8.177050906722314
262.0,8.185446999059616
263.0,8.193577382129433
264.0,8.201583761770527
265.0,8.208964496506637
266.0,8.216009930419903
267.0,8.22232116975518
268.0,8.228423807942471
269.0,8.234329485057444
270.0,8.240670144036347
271.0,8.247564899326226
272.0,8.254800587926324
273.0,8.262549706866023
274.0,8.27036581511459
275.0,8.277256788234533
276.0,8.283724135601377
277.0,8.289992624529857
278.0,8.295372151480729
279.0,8.3012555596352
280.0,8.30622163038326
281.0,8.310216086351382
282.0,8.31388427733119
283.0,8.317643117300845
284.0,8.321204632579734
285.0,8.324705278542469
286.0,8.328385511222407
287.0,8.332957964880267
288.0,8.33727596486637
289.0,8.340792271662345
290.0,8.344806988793238
291.0,8.349590052226208
292.0,8.354458274574721
293.0,8.35976151999427
294.0,8.3646150486293
295.0,8.36909544211453
296.0,8.373822724917014
297.0,8.378915946382353
298.0,8.3838689868236
299.0,8.388971856160017
300.0,8.393348711730965
301.0,8.397498721927086
302.0,8.401614564521104
303.0,8.406136940054083
304.0,8.411197964675894
305.0,8.41616413038855
306.0,8.421110520668039
307.0,8.426002090130197
308.0,8.430949763813974
309.0,8.436082107138366
310.0,8.440853195719168
311.0,8.445456284198224
312.0,8.44987988535788
313.0,8.454389896154431
