ordem_execucao,run_id,celula,replica,A,B,C,servidores,lambda,servico,rho,spawn_key,resposta,tempo_s
67,33,4,3,1,1,-1,2,0.9,exp,0.45,32,0.26771039677865993,5.016306961000737
68,63,7,3,-1,1,1,1,0.9,const,0.9,62,4.108736158189291,4.619624302000375
69,48,5,8,-1,-1,1,1,0.5,const,0.5,47,0.49478315360677555,3.826675530999637
70,32,4,2,1,1,-1,2,0.9,exp,0.45,31,0.2447734650556461,5.056344231999901
71,51,6,1,1,-1,1,2,0.5,const,0.25,50,0.03788286092759206,4.7728228619998845
72,46,5,6,-1,-1,1,1,0.5,const,0.5,45,0.5058800957944168,3.8307754339994062
73,76,8,6,1,1,1,2,0.9,const,0.45,75,0.13770629661950537,3.4706736529997215
74,77,8,7,1,1,1,2,0.9,const,0.45,76,0.13682799109777738,2.237155394999718
75,29,3,9,-1,1,-1,1,0.9,exp,0.9,28,9.49762682804755,2.107678051000221
76,57,6,7,1,-1,1,2,0.5,const,0.25,56,0.03818562923296851,3.1231901949995517
77,54,6,4,1,-1,1,2,0.5,const,0.25,53,0.03730881884712213,2.2624685809996663
78,34,4,4,1,1,-1,2,0.9,exp,0.45,33,0.2423723257673924,2.0317882290000853
79,49,5,9,-1,-1,1,1,0.5,const,0.5,48,0.48676899460515444,3.041736938000213
80,66,7,6,-1,1,1,1,0.9,const,0.9,65,4.37373834929404,2.186062428000696
